id,titre,description,service,date
RFY-994-EM,injury,Employee altercation in the break room,Manufacturing Solutions,2020/10/12
GDN-162-WX,fire incident,Fire incident in the storage area,Facility Maintenance,2023/06/22
FKF-010-GV,equipment malfunction,Equipment malfunction during operation,Energy Efficiency Solutions,2018/11/28
GZR-281-BZ,injury,Employee altercation in the break room,Facility Maintenance,2023/05/11
UHL-508-JC,slip and fall,Slip and fall accident in the hallway,Logistics and Supply Chain,2022/07/16
KEE-219-FL,chemical spill,Chemical spill in the laboratory,Facility Maintenance,2019/04/24
OMF-497-KZ,fire incident,Fire incident in the storage area,Facility Maintenance,2019/10/01
RGL-118-RP,equipment malfunction,Equipment malfunction during operation,Manufacturing Solutions,2022/01/02
QKU-266-FE,injury,Employee altercation in the break room,Manufacturing Solutions,2016/04/22
OXZ-320-NP,fire incident,Fire incident in the storage area,Industrial Automation,2023/11/09
DHK-377-ID,slip and fall,Slip and fall accident in the hallway,Facility Maintenance,2022/12/21
FKW-344-GZ,injury,Employee altercation in the break room,Manufacturing Solutions,2016/06/24
FRB-642-SV,equipment malfunction,Equipment malfunction during operation,Manufacturing Solutions,2019/12/13
NQM-616-KZ,equipment malfunction,Equipment malfunction during operation,Energy Efficiency Solutions,2015/05/19
DQZ-155-WM,fire incident,Fire incident in the storage area,Energy Efficiency Solutions,2014/06/09
DLJ-541-GY,injury,Employee altercation in the break room,Industrial Automation,2022/12/08
ZVK-758-QZ,equipment malfunction,Equipment malfunction during operation,Logistics and Supply Chain,2020/06/22
SMU-469-CS,chemical spill,Chemical spill in the laboratory,Facility Maintenance,2015/09/12
OXU-430-ID,fire incident,Fire incident in the storage area,Facility Maintenance,2021/12/06
YAF-543-TD,slip and fall,Slip and fall accident in the hallway,Industrial Automation,2017/07/16
JWV-693-YN,slip and fall,Slip and fall accident in the hallway,Energy Efficiency Solutions,2015/08/30
YJA-541-SP,equipment malfunction,Equipment malfunction during operation,Facility Maintenance,2022/03/09
MHD-497-ML,equipment malfunction,Equipment malfunction during operation,Industrial Automation,2020/12/10
NCL-610-HA,chemical spill,Chemical spill in the laboratory,Facility Maintenance,2015/10/16
YDM-611-QE,fire incident,Fire incident in the storage area,Industrial Automation,2022/12/01
IOJ-114-KH,slip and fall,Slip and fall accident in the hallway,Logistics and Supply Chain,2019/11/11
IQI-130-BD,fire incident,Fire incident in the storage area,Industrial Automation,2014/07/28
VJA-791-LA,fire incident,Fire incident in the storage area,Facility Maintenance,2020/11/02
AFK-856-VG,equipment malfunction,Equipment malfunction during operation,Logistics and Supply Chain,2017/04/09
QIK-521-DF,chemical spill,Chemical spill in the laboratory,Manufacturing Solutions,2019/01/28
ABY-508-MF,slip and fall,Slip and fall accident in the hallway,Facility Maintenance,2019/01/30
KNQ-125-XG,fire incident,Fire incident in the storage area,Manufacturing Solutions,2023/10/14
LNG-810-RL,slip and fall,Slip and fall accident in the hallway,Logistics and Supply Chain,2023/09/16
WZB-170-ZK,chemical spill,Chemical spill in the laboratory,Manufacturing Solutions,2019/05/11
GTS-765-BB,fire incident,Fire incident in the storage area,Energy Efficiency Solutions,2020/01/17
OFU-869-LH,slip and fall,Slip and fall accident in the hallway,Facility Maintenance,2020/11/21
TFX-766-YP,fire incident,Fire incident in the storage area,Manufacturing Solutions,2014/01/19
NBO-356-KE,chemical spill,Chemical spill in the laboratory,Manufacturing Solutions,2019/04/29
DFO-257-BZ,chemical spill,Chemical spill in the laboratory,Manufacturing Solutions,2022/07/14
DJH-403-SV,fire incident,Fire incident in the storage area,Logistics and Supply Chain,2020/05/28
